activity_id,date,start_time,name,distance_km,duration_min,moving_duration_min,avg_pace_min_per_km,elevation_gain_m,elevation_loss_m,avg_hr,max_hr,calories,aerobic_training_effect,anaerobic_training_effect,training_effect_label,vo2max,avg_cadence_spm,max_cadence_spm,moderate_intensity_min,vigorous_intensity_min,sweat_loss_ml,active_calories,resting_calories,best_pace_min_per_km,avg_stride_length_m,total_intensity_min
24208269792,2026-09-02,2026-09-02 17:08:31,Jakarta - Stride Repeats,4.368,41.47,41.34,9.49,36.79438400268555,39.13146495819092,140.0,165.0,275.0,,,,42.0,141.015625,239.0,24,16,248.0,,36.0,4.91,0.752,56
24190163312,2026-09-01,2026-09-01 05:54:19,Bogor - Easy Run,5.042,50.0,49.86,9.92,53.95664978027344,42.59016418457031,139.0,151.0,320.0,,,,42.0,149.203125,169.0,43,6,299.0,,61.0,7.44,0.679,55
24166169969,2026-08-30,2026-08-30 07:27:34,Jakarta Running,3.062,27.87,27.86,9.1,62.76624011993408,52.83378505706787,156.0,175.0,227.0,,,,42.0,146.109375,175.0,7,20,167.0,,33.0,6.22,0.75,47
24165991895,2026-08-30,2026-08-30 06:26:13,Jakarta - Progression Run,5.008,55.13,49.48,11.01,113.48948621749878,113.34566640853882,135.0,162.0,346.0,,,,42.0,127.578125,178.0,47,7,330.0,,67.0,5.15,0.722,61
24142678779,2026-08-28,2026-08-28 06:07:43,Bogor - Progression Run,4.51,45.0,44.84,9.98,41.36338806152344,46.43414306640625,143.0,170.0,296.0,,,,42.0,149.4375,170.0,32,12,270.0,,55.0,7.32,0.67,56
24117228760,2026-08-26,2026-08-26 06:27:08,Bogor - Stride Repeats,3.935,41.01,40.98,10.42,49.88226318359375,52.344261169433594,134.0,169.0,247.0,,,,,138.140625,246.0,27,12,246.0,,36.0,3.87,0.702,51
24078731969,2026-08-23,2026-08-23 06:38:45,Bogor - Easy Run,4.74,50.0,49.86,10.55,32.557838439941406,34.57849884033203,139.0,150.0,305.0,,,,42.0,156.015625,169.0,49,0,299.0,,61.0,8.71,0.607,49
24046413854,2026-08-20,2026-08-20 16:07:39,Bogor - Progression Run,3.846,40.0,39.97,10.4,55.44071960449219,50.863861083984375,134.0,167.0,251.0,,,,42.0,151.921875,178.0,32,7,239.0,,49.0,6.87,0.629,46
24020794052,2026-08-18,2026-08-18 16:57:04,Bogor - Stride Repeats,4.114,41.07,40.85,9.98,53.656768798828125,46.07609558105469,129.0,160.0,238.0,,,,,141.1875,220.0,33,7,246.0,,36.0,4.25,0.715,47
23992387306,2026-08-16,2026-08-16 06:48:45,Bogor - Easy Run,4.472,50.0,49.92,11.18,53.64997863769531,40.63749694824219,127.0,145.0,270.0,,,,,138.890625,161.0,47,0,299.0,,61.0,8.84,0.649,47
23955906640,2026-08-13,2026-08-13 06:11:01,Bogor - Progression Run,3.273,35.0,34.97,10.69,33.742706298828125,38.112586975097656,134.0,172.0,217.0,,,,42.0,149.328125,173.0,27,7,209.0,,43.0,6.74,0.621,41
23929491336,2026-08-11,2026-08-11 06:15:53,Bogor - Stride Repeats,3.577,41.54,35.15,11.61,33.284515380859375,34.152732849121094,135.0,162.0,271.0,,,,42.0,111.125,217.0,28,10,249.0,,38.0,4.78,0.761,48
23905121346,2026-08-09,2026-08-09 05:41:40,UI Green Marathon,10.199,84.47,84.42,8.28,120.42868041992188,118.16551208496094,166.0,189.0,749.0,,,,42.0,145.21875,244.0,9,75,506.0,,105.0,3.5,0.836,159
23881012206,2026-08-07,2026-08-07 06:01:55,Bogor - Progression Run,3.15,30.53,30.01,9.69,26.97858428955078,29.042884826660156,147.0,174.0,226.0,,,,42.0,141.703125,185.0,17,13,183.0,,36.0,6.38,0.734,43
23855851081,2026-08-05,2026-08-05 06:07:23,Bogor Running,4.011,40.37,40.23,10.06,46.09967803955078,50.12702178955078,137.0,150.0,255.0,,,,42.0,140.578125,165.0,35,2,242.0,,50.0,7.12,0.707,39
23806264766,2026-08-01,2026-08-01 07:23:15,Balikpapan Running,6.006,68.36,67.07,11.38,30.382072687149048,27.386386394500732,129.0,148.0,368.0,,,,42.0,137.71875,235.0,64,1,410.0,,84.0,7.87,0.639,66
23782224336,2026-07-30,2026-07-30 06:05:33,Balikpapan Running,5.012,57.1,56.97,11.39,24.441829919815063,25.35252356529236,120.0,132.0,286.0,,,,,144.5625,164.0,56,0,342.0,,71.0,8.98,0.607,56
23732799698,2026-07-26,2026-07-26 05:20:51,Bogor Running,9.008,95.57,95.42,10.61,76.39690399169922,84.68329620361328,135.0,155.0,550.0,,,,42.0,142.09375,168.0,87,6,573.0,,119.0,7.44,0.663,99
23698004670,2026-07-23,2026-07-23 09:20:29,Bogor - Stride Repeats,1.636,18.95,16.2,11.59,56.33955383300781,28.314544677734375,141.0,169.0,132.0,,,,,85.703125,240.0,9,8,113.0,,12.0,1.16,0.997,25
23698004090,2026-07-23,2026-07-23 08:36:01,Bogor Running,4.01,42.08,41.96,10.49,24.256324768066406,28.547149658203125,140.0,153.0,270.0,,,,42.0,139.765625,171.0,33,7,252.0,,53.0,6.84,0.682,47
