sumMovingDuration,directRunCadence,directFractionalCadence,directLongitude,directUncorrectedElevation,sumDistance,sumElapsedDuration,directCorrectedElevation,sumDuration,directDoubleCadence,directSpeed,directTimestamp,directHeartRate,directLatitude,directElevation,directVerticalSpeed,elapsed_s
0.0,0.0,0.0,106.89386213198304,95.4000015258789,0.009999999776482582,0.0,82.0,0.0,0.0,0.0,1784770561000.0,148.0,-6.429434213787317,82.0,,0.0
0.0,0.0,0.0,106.8938575219363,95.0,0.5,5.0,82.0,5.0,0.0,0.0,1784770566000.0,151.0,-6.429434800520539,82.0,-0.014000000432133675,5.0
5.0,81.0,0.5,106.8938300292939,94.19999694824219,10.470000267028809,10.0,81.19999694824219,10.0,163.0,0.7739999890327454,1784770571000.0,149.0,-6.429520463570952,81.19999694824219,-0.14100000262260437,10.0
8.0,84.0,0.5,106.89381150528789,93.80000305175781,20.90999984741211,13.0,80.5999984741211,13.0,169.0,2.062000036239624,1784770574000.0,146.0,-6.429614257067442,80.5999984741211,-0.19200000166893005,13.0
11.0,85.0,0.5,106.89377672038972,93.19999694824219,31.520000457763672,16.0,80.4000015258789,16.0,171.0,2.2950000762939453,1784770577000.0,143.0,-6.429703272879124,80.4000015258789,-0.07900000363588333,16.0
19.0,84.0,0.5,106.89370756968856,92.4000015258789,52.25,24.0,79.5999984741211,24.0,169.0,2.4260001182556152,1784770585000.0,142.0,-6.429877281188965,79.5999984741211,-0.10499999672174454,24.0
20.0,84.0,0.5,106.89370254054666,92.19999694824219,54.400001525878906,25.0,79.5999984741211,25.0,169.0,2.434999942779541,1784770586000.0,143.0,-6.429896140471101,79.5999984741211,0.05000000074505806,25.0
25.0,83.0,0.5,106.89367957413197,91.5999984741211,65.58999633789062,30.0,80.0,30.0,167.0,2.3610000610351562,1784770591000.0,146.0,-6.429994627833366,80.0,0.08500000089406967,30.0
28.0,83.0,0.5,106.8936587870121,91.19999694824219,73.45999908447266,33.0,80.80000305175781,33.0,167.0,2.3329999446868896,1784770594000.0,148.0,-6.430063024163246,80.80000305175781,0.27799999713897705,33.0
34.0,82.0,0.0,106.89362752251327,91.4000015258789,86.36000061035156,39.0,82.19999694824219,39.0,164.0,2.305000066757202,1784770600000.0,149.0,-6.430175257846713,82.19999694824219,0.20200000703334808,39.0
40.0,82.0,0.5,106.89359709620476,91.80000305175781,100.04000091552734,45.0,83.19999694824219,45.0,165.0,2.1459999084472656,1784770606000.0,150.0,-6.430295538157225,83.19999694824219,0.1720000058412552,45.0
