directTimestamp,directSpeed,directLatitude,sumDuration,directDoubleCadence,sumMovingDuration,directRunCadence,directElevation,sumDistance,directFractionalCadence,directHeartRate,sumElapsedDuration,directLongitude,directUncorrectedElevation,directCorrectedElevation,directVerticalSpeed,elapsed_s
1784773229000.0,14.322999954223633,-6.428915960714221,0.0,0.0,0.0,0.0,83.0,0.0,0.0,110.0,0.0,106.89411208033562,112.19999694824219,83.0,,0.0
1784773233000.0,1.222000002861023,-6.428760141134262,4.0,0.0,4.0,0.0,80.5999984741211,8.270000457763672,0.0,113.0,4.0,106.89399993047118,112.5999984741211,80.5999984741211,-0.5860000252723694,4.0
1784773236000.0,0.8299999833106995,-6.428799033164978,7.0,0.0,7.0,0.0,80.80000305175781,8.270000457763672,0.0,114.0,7.0,106.89400822855532,112.4000015258789,80.80000305175781,0.0860000029206276,7.0
1784773241000.0,0.7739999890327454,-6.428707921877503,12.0,0.0,12.0,0.0,80.19999694824219,8.270000457763672,0.0,113.0,12.0,106.89398551359773,112.4000015258789,80.19999694824219,-0.13099999725818634,12.0
1784773242000.0,0.7559999823570251,-6.428705742582679,13.0,0.0,13.0,0.0,80.19999694824219,8.270000457763672,0.0,113.0,13.0,106.89398375339806,112.4000015258789,80.19999694824219,-0.032999999821186066,13.0
1784773253000.0,0.0,-6.4286994561553,13.0,0.0,13.0,0.0,80.19999694824219,8.270000457763672,0.0,110.0,24.0,106.89397822134197,112.4000015258789,80.19999694824219,,24.0
1784773257000.0,0.0,-6.428683195263147,17.0,0.0,13.0,0.0,79.80000305175781,9.4399995803833,0.0,110.0,28.0,106.8939661514014,112.4000015258789,79.80000305175781,-0.057999998331069946,28.0
1784773262000.0,0.0,-6.42865939065814,22.0,164.0,13.0,82.0,79.80000305175781,13.479999542236328,0.0,110.0,33.0,106.89397201873362,112.4000015258789,79.80000305175781,0.0,33.0
1784773271000.0,1.9500000476837158,-6.4285034872591496,22.0,170.0,13.0,85.0,80.19999694824219,16.079999923706055,0.0,111.0,42.0,106.89402130432427,112.19999694824219,80.19999694824219,,42.0
1784773272000.0,2.2109999656677246,-6.428484041243792,23.0,170.0,14.0,85.0,80.19999694824219,18.520000457763672,0.0,114.0,43.0,106.89403228461742,112.19999694824219,80.19999694824219,0.07900000363588333,43.0
1784773273000.0,2.00600004196167,-6.428460236638784,24.0,168.0,15.0,84.0,80.19999694824219,21.200000762939453,0.0,117.0,44.0,106.89403689466417,112.19999694824219,80.19999694824219,0.032999999821186066,44.0
