directDoubleCadence,directElevation,directSpeed,directTimestamp,directHeartRate,directLongitude,sumDuration,sumDistance,directLatitude,sumMovingDuration,directCorrectedElevation,sumElapsedDuration,directUncorrectedElevation,directRunCadence,directFractionalCadence,directVerticalSpeed,elapsed_s
0.0,6.199999809265137,1.0080000162124634,1785362733000.0,96.0,116.84068330563605,0.0,0.75,-1.2768616620451212,0.0,6.199999809265137,0.0,7.0,0.0,0.0,,0.0
0.0,6.199999809265137,0.0,1785362734000.0,96.0,116.84068548493087,1.0,1.840000033378601,-1.2768518552184105,0.0,6.199999809265137,1.0,7.199999809265137,0.0,0.0,0.0430000014603138,1.0
156.0,6.0,0.5230000019073486,1785362740000.0,94.0,116.8406406417489,7.0,9.670000076293945,-1.2768401205539703,6.0,6.0,7.0,11.399999618530273,78.0,0.0,-0.03400000184774399,7.0
151.0,6.400000095367432,1.5399999618530273,1785362750000.0,92.0,116.8405425734818,17.0,21.739999771118164,-1.2768862210214138,16.0,6.400000095367432,17.0,14.199999809265137,75.0,0.5,0.03500000014901161,17.0
153.0,6.800000190734863,1.5119999647140503,1785362760000.0,95.0,116.84042070060968,27.0,35.7599983215332,-1.276918826624751,26.0,6.800000190734863,27.0,14.800000190734863,76.0,0.5,0.04399999976158142,27.0
151.0,6.800000190734863,1.5019999742507935,1785362761000.0,96.0,116.84040896594524,28.0,37.2400016784668,-1.2769251130521297,27.0,6.800000190734863,28.0,14.800000190734863,75.0,0.5,0.041999999433755875,28.0
151.0,7.0,1.4839999675750732,1785362762000.0,96.0,116.84039656072855,29.0,38.619998931884766,-1.2769240234047174,28.0,7.0,29.0,15.0,75.0,0.5,0.04500000178813934,29.0
151.0,7.0,1.465000033378601,1785362764000.0,96.0,116.8403850775212,31.0,39.88999938964844,-1.2769237719476223,30.0,7.0,31.0,15.0,75.0,0.5,0.020999999716877937,31.0
153.0,7.0,1.4559999704360962,1785362765000.0,96.0,116.84037778526545,32.0,40.68000030517578,-1.2769295554608107,31.0,7.0,32.0,15.0,76.0,0.5,0.026000000536441803,32.0
153.0,7.0,1.465000033378601,1785362766000.0,95.0,116.84036320075393,33.0,42.11000061035156,-1.2769275438040495,32.0,7.0,33.0,14.800000190734863,76.0,0.5,0.019999999552965164,33.0
154.0,7.0,1.465000033378601,1785362768000.0,95.0,116.84034928679466,35.0,44.02000045776367,-1.2769438046962023,34.0,7.0,35.0,14.600000381469727,77.0,0.0,0.0,35.0
153.0,7.0,1.5299999713897705,1785362771000.0,94.0,116.84033202007413,38.0,47.130001068115234,-1.2769672740250826,37.0,7.0,38.0,14.199999809265137,76.0,0.5,0.0,38.0
151.0,7.0,1.5299999713897705,1785362773000.0,95.0,116.84031064622104,40.0,49.220001220703125,-1.2769711297005415,39.0,7.0,40.0,13.199999809265137,75.0,0.5,0.0,40.0
151.0,7.0,1.4839999675750732,1785362775000.0,94.0,116.84028868563473,42.0,51.47999954223633,-1.2769811041653156,41.0,7.0,42.0,12.600000381469727,75.0,0.5,0.0,42.0
151.0,7.0,1.465000033378601,1785362776000.0,94.0,116.84028063900769,43.0,52.31999969482422,-1.2769868038594723,42.0,7.0,43.0,12.600000381469727,75.0,0.5,0.0,43.0
150.0,7.0,1.4459999799728394,1785362777000.0,93.0,116.84026856906712,44.0,53.470001220703125,-1.2769899889826775,43.0,7.0,44.0,12.399999618530273,75.0,0.0,0.0,44.0
148.0,7.199999809265137,1.4279999732971191,1785362779000.0,93.0,116.8402370531112,46.0,56.40999984741211,-1.2769885640591383,45.0,7.199999809265137,46.0,12.600000381469727,74.0,0.0,0.052000001072883606,46.0
151.0,7.400000095367432,1.437000036239624,1785362782000.0,95.0,116.84016547165811,49.0,63.2599983215332,-1.276972470805049,48.0,7.400000095367432,49.0,13.800000190734863,75.0,0.5,0.10499999672174454,49.0
153.0,7.599999904632568,1.409000039100647,1785362786000.0,101.0,116.84011409059167,53.0,68.16999816894531,-1.276947157457471,52.0,7.599999904632568,53.0,16.799999237060547,76.0,0.5,0.0689999982714653,53.0
153.0,7.800000190734863,1.3619999885559082,1785362787000.0,104.0,116.84010344557464,54.0,69.77999877929688,-1.2769356742501259,53.0,7.800000190734863,54.0,17.399999618530273,76.0,0.5,0.07999999821186066,54.0
153.0,7.800000190734863,1.3250000476837158,1785362788000.0,106.0,116.84008961543441,55.0,71.5999984741211,-1.2769260350614786,54.0,7.800000190734863,55.0,18.0,76.0,0.5,0.03200000151991844,55.0
154.0,7.0,1.2970000505447388,1785362791000.0,109.0,116.84000059962273,58.0,82.22000122070312,-1.2768759950995445,57.0,7.0,58.0,21.200000762939453,77.0,0.0,-0.28200000524520874,58.0
154.0,6.400000095367432,1.399999976158142,1785362793000.0,110.0,116.83994452469051,60.0,88.7300033569336,-1.2768601533025503,59.0,6.400000095367432,60.0,23.399999618530273,77.0,0.0,-0.3310000002384186,60.0
150.0,5.400000095367432,1.222000002861023,1785362797000.0,113.0,116.83986556716263,64.0,97.45999908447266,-1.2768630031496286,63.0,5.400000095367432,64.0,33.400001525878906,75.0,0.0,-0.210999995470047,64.0
153.0,5.0,1.2599999904632568,1785362803000.0,114.0,116.83977437205613,70.0,107.5,-1.2768794316798449,69.0,5.0,70.0,41.599998474121094,76.0,0.5,-0.0729999989271164,70.0
153.0,5.0,1.2410000562667847,1785362804000.0,114.0,116.83976297266781,71.0,108.9000015258789,-1.2768738996237516,70.0,5.0,71.0,42.20000076293945,76.0,0.5,0.03999999910593033,71.0
150.0,5.199999809265137,1.2599999904632568,1785362806000.0,113.0,116.83973338454962,73.0,111.88999938964844,-1.2768657691776752,72.0,5.199999809265137,73.0,43.20000076293945,75.0,0.0,0.028999999165534973,73.0
150.0,5.199999809265137,1.2599999904632568,1785362807000.0,113.0,116.83972072787583,74.0,113.30000305175781,-1.2768609076738358,73.0,5.199999809265137,74.0,43.400001525878906,75.0,0.0,0.03500000014901161,74.0
151.0,5.199999809265137,1.2599999904632568,1785362810000.0,113.0,116.83967513032258,77.0,118.26000213623047,-1.2768622487783432,76.0,5.199999809265137,77.0,44.20000076293945,75.0,0.5,-0.003000000026077032,77.0
150.0,5.0,1.2599999904632568,1785362812000.0,114.0,116.83964948169887,79.0,120.63999938964844,-1.276881443336606,78.0,5.0,79.0,45.20000076293945,75.0,0.0,-0.0689999982714653,79.0
148.0,4.800000190734863,1.2970000505447388,1785362818000.0,116.0,116.8395649921149,85.0,130.50999450683594,-1.2769334111362696,84.0,4.800000190734863,85.0,48.20000076293945,74.0,0.0,-0.03200000151991844,85.0
151.0,4.800000190734863,1.305999994277954,1785362820000.0,119.0,116.83954160660505,87.0,133.41000366210938,-1.2769466545432806,86.0,4.800000190734863,87.0,48.599998474121094,75.0,0.5,-0.024000000208616257,87.0
155.0,5.0,1.4279999732971191,1785362824000.0,120.0,116.83949617668986,91.0,138.8000030517578,-1.2769671063870192,90.0,5.0,91.0,48.20000076293945,77.0,0.5,0.057999998331069946,91.0
155.0,5.199999809265137,1.437000036239624,1785362827000.0,121.0,116.83946072123945,94.0,142.8800048828125,-1.2769582215696573,93.0,5.199999809265137,94.0,47.400001525878906,77.0,0.5,0.09300000220537186,94.0
