directRunCadence,sumDistance,directFractionalCadence,directSpeed,sumMovingDuration,directLatitude,directElevation,directDoubleCadence,sumDuration,directLongitude,directCorrectedElevation,sumElapsedDuration,directUncorrectedElevation,directHeartRate,directTimestamp,directVerticalSpeed,elapsed_s
0.0,1.2899999618530273,0.0,0.0,0.0,-1.2774369958788157,3.0,0.0,0.0,116.84067324735224,3.0,0.0,43.20000076293945,88.0,1785540195000.0,,0.0
0.0,2.559999942779541,0.0,0.0,0.0,-1.2774257641285658,3.0,0.0,1.0,116.84067743830383,3.0,1.0,43.599998474121094,89.0,1785540196000.0,0.03999999910593033,1.0
79.0,14.430000305175781,0.5,1.0449999570846558,5.0,-1.277316464111209,3.4000000953674316,159.0,6.0,116.84069537557662,3.4000000953674316,6.0,43.79999923706055,92.0,1785540201000.0,0.07900000363588333,6.0
79.0,16.139999389648438,0.0,1.6419999599456787,6.0,-1.2772985268384218,3.5999999046325684,158.0,7.0,116.84069965034723,3.5999999046325684,7.0,42.599998474121094,92.0,1785540202000.0,0.06499999761581421,7.0
77.0,22.530000686645508,0.5,1.6979999542236328,10.0,-1.2772383447736502,3.799999952316284,155.0,11.0,116.84070811606944,3.799999952316284,11.0,37.400001525878906,95.0,1785540206000.0,0.05400000140070915,11.0
79.0,25.360000610351562,0.5,1.6610000133514404,12.0,-1.2772126961499453,3.799999952316284,159.0,13.0,116.8407064396888,3.799999952316284,13.0,34.79999923706055,98.0,1785540208000.0,0.04600000008940697,13.0
78.0,39.56999969482422,0.5,1.6979999542236328,20.0,-1.2770851235836744,4.800000190734863,157.0,21.0,116.84069864451885,4.800000190734863,21.0,31.600000381469727,101.0,1785540216000.0,0.11299999803304672,21.0
78.0,42.970001220703125,0.5,1.6890000104904175,22.0,-1.2770547810941935,5.0,157.0,23.0,116.84069336391985,5.0,23.0,31.200000762939453,102.0,1785540218000.0,0.10000000149011612,23.0
79.0,49.02000045776367,0.0,1.6890000104904175,28.0,-1.2770097702741623,5.199999809265137,158.0,29.0,116.84067743830383,5.199999809265137,29.0,31.200000762939453,104.0,1785540224000.0,0.04399999976158142,29.0
77.0,54.33000183105469,0.5,1.6139999628067017,31.0,-1.276928884908557,5.599999904632568,155.0,32.0,116.84065497480333,5.599999904632568,32.0,30.799999237060547,107.0,1785540227000.0,0.16699999570846558,32.0
79.0,58.33000183105469,0.0,1.4559999704360962,34.0,-1.2768930941820145,6.0,158.0,35.0,116.84064860455692,6.0,35.0,30.200000762939453,110.0,1785540230000.0,0.0860000029206276,35.0
78.0,58.810001373291016,0.0,1.399999976158142,35.0,-1.2768901605159044,6.0,156.0,36.0,116.84064525179565,6.0,36.0,30.0,110.0,1785540231000.0,0.05700000002980232,36.0
76.0,61.2599983215332,0.5,1.2039999961853027,37.0,-1.2768818624317646,6.0,153.0,38.0,116.84062563814223,6.0,38.0,29.600000381469727,111.0,1785540233000.0,0.04500000178813934,38.0
75.0,66.86000061035156,0.0,1.5490000247955322,40.0,-1.2768883164972067,6.199999809265137,150.0,41.0,116.84057593345642,6.199999809265137,41.0,29.600000381469727,112.0,1785540236000.0,0.05999999865889549,41.0
78.0,74.87999725341797,0.5,1.6330000162124634,45.0,-1.276890579611063,6.599999904632568,157.0,46.0,116.84050393290818,6.599999904632568,46.0,31.399999618530273,116.0,1785540241000.0,0.052000001072883606,46.0
79.0,77.52999877929688,0.5,1.6330000162124634,47.0,-1.276896446943283,6.599999904632568,159.0,48.0,116.84048096649349,6.599999904632568,48.0,31.600000381469727,119.0,1785540243000.0,0.04100000113248825,48.0
79.0,79.19999694824219,0.5,1.6330000162124634,48.0,-1.2769007217139006,6.599999904632568,159.0,49.0,116.84046654962003,6.599999904632568,49.0,31.799999237060547,119.0,1785540244000.0,0.052000001072883606,49.0
72.0,86.7300033569336,0.5,1.5490000247955322,54.0,-1.2769149709492922,7.0,145.0,55.0,116.84039957821369,7.0,55.0,27.799999237060547,121.0,1785540250000.0,0.03999999910593033,55.0
76.0,92.44999694824219,0.5,1.5019999742507935,58.0,-1.2769096065312624,7.0,153.0,59.0,116.84035196900368,7.0,59.0,26.0,119.0,1785540254000.0,0.02500000037252903,59.0
76.0,93.83000183105469,0.5,1.4930000305175781,60.0,-1.276903571560979,7.0,153.0,61.0,116.84033528901637,7.0,61.0,25.399999618530273,118.0,1785540256000.0,0.028999999165534973,61.0
76.0,99.45999908447266,0.0,1.399999976158142,63.0,-1.2768827844411135,7.400000095367432,152.0,64.0,116.84028382413089,7.400000095367432,64.0,24.799999237060547,118.0,1785540259000.0,0.08699999749660492,64.0
76.0,101.9800033569336,0.0,1.371999979019165,65.0,-1.2768810242414474,7.400000095367432,152.0,66.0,116.84026027098298,7.400000095367432,66.0,24.399999618530273,119.0,1785540261000.0,0.0430000014603138,66.0
77.0,103.81999969482422,0.5,1.3619999885559082,67.0,-1.276887897402048,7.400000095367432,155.0,68.0,116.84024333953857,7.400000095367432,68.0,23.799999237060547,119.0,1785540263000.0,0.020999999716877937,68.0
77.0,109.12000274658203,0.5,1.3339999914169312,71.0,-1.2768962793052197,7.599999904632568,155.0,72.0,116.84019480831921,7.599999904632568,72.0,23.200000762939453,119.0,1785540267000.0,0.035999998450279236,72.0
