sumMovingDuration,sumDistance,sumDuration,directHeartRate,directLongitude,directLatitude,directCorrectedElevation,directRunCadence,directUncorrectedElevation,sumElapsedDuration,directTimestamp,directElevation,directFractionalCadence,directSpeed,directDoubleCadence,directVerticalSpeed,elapsed_s
0.0,0.0,0.0,99.0,106.89343993552029,-6.430103424936533,80.80000305175781,0.0,81.80000305175781,0.0,1786057315000.0,80.80000305175781,0.0,1.156999945640564,0.0,,0.0
0.0,0.6100000143051147,1.0,100.0,106.8934449646622,-6.430109962821007,80.80000305175781,0.0,88.0,1.0,1786057316000.0,80.80000305175781,0.0,0.0,0.0,0.09300000220537186,1.0
0.0,2.319999933242798,7.0,97.0,106.89343993552029,-6.430117757990956,81.0,0.0,102.0,7.0,1786057322000.0,81.0,0.0,0.0,0.0,0.01899999938905239,7.0
0.0,2.319999933242798,8.0,96.0,106.89344094134867,-6.430117087438703,81.0,0.0,101.80000305175781,8.0,1786057323000.0,81.0,0.0,0.0,0.0,-0.013000000268220901,8.0
0.0,2.319999933242798,9.0,99.0,106.89344236627221,-6.430117003619671,81.0,0.0,101.5999984741211,9.0,1786057324000.0,81.0,0.0,0.0,0.0,-0.006000000052154064,9.0
0.0,5.480000019073486,19.0,99.0,106.89348025247455,-6.430127983912826,81.19999694824219,91.0,90.5999984741211,19.0,1786057334000.0,81.19999694824219,0.0,0.0,182.0,0.028999999165534973,19.0
0.0,5.480000019073486,20.0,103.0,106.89348930492997,-6.430130582302809,81.4000015258789,92.0,91.0,20.0,1786057335000.0,81.4000015258789,0.5,0.0,185.0,0.07000000029802322,20.0
3.0,5.480000019073486,23.0,106.0,106.89348930492997,-6.430130582302809,81.4000015258789,90.0,92.19999694824219,23.0,1786057338000.0,81.4000015258789,0.0,1.2599999904632568,180.0,0.0,23.0
4.0,5.480000019073486,24.0,109.0,106.89348930492997,-6.430130582302809,81.4000015258789,90.0,92.5999984741211,24.0,1786057339000.0,81.4000015258789,0.0,1.4279999732971191,180.0,0.0,24.0
7.0,5.480000019073486,27.0,111.0,106.89348930492997,-6.430130582302809,81.4000015258789,0.0,93.0,27.0,1786057342000.0,81.4000015258789,0.0,1.277999997138977,0.0,0.0,27.0
7.0,5.480000019073486,27.0,111.0,106.89348930492997,-6.430130582302809,81.4000015258789,0.0,93.19999694824219,32.0,1786057347000.0,81.4000015258789,0.0,0.0,0.0,,32.0
7.0,5.480000019073486,31.0,114.0,106.89348930492997,-6.430134605616331,81.4000015258789,0.0,93.4000015258789,36.0,1786057351000.0,81.4000015258789,0.0,0.0,0.0,0.014000000432133675,36.0
7.0,5.480000019073486,34.0,117.0,106.89350288361311,-6.430143490433693,81.5999984741211,0.0,93.4000015258789,39.0,1786057354000.0,81.5999984741211,0.0,0.0,0.0,0.05900000035762787,39.0
7.0,6.019999980926514,37.0,120.0,106.89350724220276,-6.430153213441372,81.80000305175781,75.0,93.4000015258789,42.0,1786057357000.0,81.80000305175781,0.5,0.0,151.0,0.052000001072883606,42.0
12.0,18.350000381469727,42.0,119.0,106.89354253001511,-6.430279528722167,83.0,81.0,93.4000015258789,47.0,1786057362000.0,83.0,0.5,1.9500000476837158,163.0,0.2720000147819519,47.0
17.0,30.739999771118164,47.0,122.0,106.89355552196503,-6.43039888702333,83.5999984741211,82.0,93.5999984741211,52.0,1786057367000.0,83.5999984741211,0.0,1.8940000534057617,164.0,0.0860000029206276,52.0
18.0,32.58000183105469,48.0,122.0,106.89356532879174,-6.4304128009825945,83.5999984741211,82.0,93.80000305175781,53.0,1786057368000.0,83.5999984741211,0.0,1.9129999876022339,164.0,0.05000000074505806,53.0
19.0,33.86000061035156,49.0,122.0,106.89356843009591,-6.430424200370908,83.5999984741211,81.0,93.5999984741211,54.0,1786057369000.0,83.5999984741211,0.0,1.9129999876022339,162.0,0.14000000059604645,54.0
25.0,47.2599983215332,55.0,122.0,106.89355786889791,-6.4305453188717365,84.80000305175781,81.0,92.19999694824219,60.0,1786057375000.0,84.80000305175781,0.0,1.781999945640564,162.0,0.1889999955892563,60.0
