activity_id,split_index,distance_km,duration_min,pace_min_per_km,avg_hr,max_hr,elevation_gain_m
23905121346,1,1.0,8.69,8.69,160.0,178.0,1.89
23905121346,2,1.0,9.44,9.44,158.0,173.0,16.53
23905121346,3,1.0,8.69,8.69,156.0,167.0,7.0
23905121346,4,1.0,8.56,8.56,163.0,177.0,9.93
23905121346,5,1.0,7.82,7.82,166.0,177.0,12.69
23905121346,6,1.0,8.28,8.28,169.0,183.0,14.0
23905121346,7,1.0,8.52,8.52,165.0,175.0,12.55
23905121346,8,1.0,8.86,8.86,166.0,176.0,36.75
23905121346,9,1.0,7.41,7.41,176.0,185.0,6.45
23905121346,10,1.0,7.03,7.03,180.0,189.0,0.0
23905121346,11,0.199,1.17,5.87,186.0,189.0,2.63
