directHeartRate,directSpeed,directElevation,directDoubleCadence,directFractionalCadence,directLongitude,directUncorrectedElevation,directCorrectedElevation,sumDistance,directTimestamp,sumElapsedDuration,sumDuration,directLatitude,directRunCadence,sumMovingDuration,directVerticalSpeed,elapsed_s
134.0,0.0,81.4000015258789,0.0,0.0,106.8938501458615,102.19999694824219,81.4000015258789,1.4600000381469727,1787216859000.0,0.0,0.0,-6.4293033722788095,0.0,0.0,,0.0
134.0,0.0,81.4000015258789,0.0,0.0,106.8938490562141,102.19999694824219,81.4000015258789,1.4600000381469727,1787216860000.0,1.0,1.0,-6.429306473582983,0.0,0.0,-0.004999999888241291,1.0
135.0,0.7559999823570251,81.19999694824219,162.0,0.0,106.89381997101009,102.19999694824219,81.19999694824219,9.4399995803833,1787216867000.0,8.0,8.0,-6.429385514929891,81.0,7.0,-0.01899999938905239,8.0
135.0,1.465000033378601,81.19999694824219,160.0,0.0,106.893809158355,102.4000015258789,81.19999694824219,13.680000305175781,1787216869000.0,10.0,10.0,-6.429423401132226,80.0,9.0,-0.009999999776482582,10.0
132.0,1.5579999685287476,80.80000305175781,159.0,0.5,106.89379666931927,102.4000015258789,80.80000305175781,20.079999923706055,1787216872000.0,13.0,13.0,-6.429480481892824,79.0,12.0,-0.125,13.0
133.0,1.5490000247955322,80.5999984741211,156.0,0.0,106.89378091134131,102.5999984741211,80.5999984741211,23.540000915527344,1787216874000.0,15.0,15.0,-6.429509734734893,78.0,14.0,-0.16599999368190765,15.0
130.0,1.5019999742507935,80.4000015258789,154.0,0.0,106.89376892521977,102.80000305175781,80.4000015258789,26.100000381469727,1787216876000.0,17.0,17.0,-6.429531192407012,77.0,16.0,-0.125,17.0
127.0,1.4739999771118164,80.19999694824219,157.0,0.5,106.89376624301076,102.80000305175781,80.19999694824219,27.139999389648438,1787216877000.0,18.0,18.0,-6.429540244862437,78.0,17.0,-0.07100000232458115,18.0
124.0,1.437000036239624,80.0,157.0,0.5,106.8937586992979,102.80000305175781,80.0,30.18000030517578,1787216879000.0,20.0,20.0,-6.429566815495491,78.0,19.0,-0.10199999809265137,20.0
124.0,1.38100004196167,79.19999694824219,149.0,0.5,106.89372072927654,101.19999694824219,79.19999694824219,39.72999954223633,1787216886000.0,27.0,27.0,-6.429644767194986,74.0,26.0,-0.11800000071525574,27.0
123.0,1.3530000448226929,79.19999694824219,156.0,0.0,106.89370078034699,100.19999694824219,79.19999694824219,54.310001373291016,1787216896000.0,37.0,37.0,-6.429774519056082,78.0,36.0,-0.0020000000949949026,37.0
125.0,1.3619999885559082,79.4000015258789,164.0,0.0,106.89364939928055,100.4000015258789,79.4000015258789,68.93000030517578,1787216905000.0,46.0,46.0,-6.429894799366593,82.0,45.0,0.02800000086426735,46.0
125.0,1.4179999828338623,80.0,160.0,0.0,106.89361142925918,99.80000305175781,80.0,82.44999694824219,1787216913000.0,54.0,54.0,-6.43000946380198,80.0,53.0,0.07400000095367432,54.0
125.0,1.4279999732971191,80.4000015258789,162.0,0.0,106.89360849559307,99.80000305175781,80.4000015258789,85.52999877929688,1787216915000.0,56.0,56.0,-6.4300378784537315,81.0,55.0,0.19900000095367432,56.0
125.0,1.4459999799728394,81.4000015258789,158.0,0.0,106.89359315671027,99.5999984741211,81.4000015258789,93.26000213623047,1787216920000.0,61.0,61.0,-6.430105771869421,79.0,60.0,0.18400000035762787,61.0
127.0,1.4459999799728394,82.5999984741211,158.0,0.0,106.89356264658272,97.5999984741211,82.5999984741211,105.61000061035156,1787216929000.0,70.0,70.0,-6.430213563144207,79.0,69.0,0.12999999523162842,70.0
130.0,1.4459999799728394,83.0,158.0,0.0,106.89353314228356,97.4000015258789,83.0,112.98999786376953,1787216934000.0,75.0,75.0,-6.430272571742535,79.0,74.0,0.10700000077486038,75.0
131.0,1.4459999799728394,83.19999694824219,159.0,0.5,106.89349005930126,97.5999984741211,83.19999694824219,119.86000061035156,1787216938000.0,79.0,79.0,-6.4303182531148195,79.0,78.0,0.04100000113248825,79.0
131.0,1.4559999704360962,83.4000015258789,158.0,0.0,106.89342945814133,97.80000305175781,83.4000015258789,126.56999969482422,1787216941000.0,82.0,82.0,-6.4303491823375225,79.0,81.0,0.03700000047683716,82.0
127.0,1.4559999704360962,83.5999984741211,144.0,0.0,106.89345058053732,98.0,83.5999984741211,135.25999450683594,1787216947000.0,88.0,88.0,-6.430428139865398,72.0,87.0,0.04699999839067459,88.0
125.0,1.371999979019165,84.0,149.0,0.5,106.89341520890594,97.5999984741211,84.0,146.7100067138672,1787216957000.0,98.0,98.0,-6.430524783208966,74.0,97.0,0.03500000014901161,98.0
124.0,1.3619999885559082,84.0,150.0,0.0,106.89337355084717,97.19999694824219,84.0,160.75,1787216966000.0,107.0,107.0,-6.430642297491431,75.0,106.0,0.004999999888241291,107.0
121.0,1.3899999856948853,84.0,150.0,0.0,106.89336391165853,100.19999694824219,84.0,177.4499969482422,1787216978000.0,119.0,119.0,-6.430796105414629,75.0,118.0,0.0,119.0
118.0,1.399999976158142,84.0,150.0,0.0,106.89335628412664,101.19999694824219,84.0,181.64999389648438,1787216981000.0,122.0,122.0,-6.430833321064711,75.0,121.0,0.023000000044703484,122.0
117.0,1.4179999828338623,84.5999984741211,151.0,0.5,106.89331437461078,101.4000015258789,84.5999984741211,195.47000122070312,1787216991000.0,132.0,132.0,-6.4309511706233025,75.0,131.0,0.04600000008940697,132.0
120.0,1.437000036239624,85.19999694824219,149.0,0.5,106.89327179454267,101.4000015258789,85.19999694824219,209.66000366210938,1787217001000.0,142.0,142.0,-6.431072540581226,74.0,141.0,0.07199999690055847,142.0
120.0,1.437000036239624,85.4000015258789,150.0,0.0,106.89326743595302,101.4000015258789,85.4000015258789,211.05999755859375,1787217002000.0,143.0,143.0,-6.431084526702762,75.0,142.0,0.07100000232458115,143.0
120.0,1.4459999799728394,85.5999984741211,154.0,0.0,106.89322552643716,102.4000015258789,85.5999984741211,218.7100067138672,1787217008000.0,149.0,149.0,-6.431142361834645,77.0,148.0,0.04399999976158142,149.0
120.0,1.4459999799728394,85.5999984741211,150.0,0.0,106.89321940764785,102.80000305175781,85.5999984741211,220.92999267578125,1787217010000.0,151.0,151.0,-6.431161472573876,75.0,150.0,0.057999998331069946,151.0
120.0,1.4179999828338623,86.4000015258789,152.0,0.0,106.89315687865019,102.5999984741211,86.4000015258789,235.30999755859375,1787217020000.0,161.0,161.0,-6.4312745444476604,76.0,160.0,0.06499999761581421,161.0
120.0,1.4279999732971191,87.19999694824219,152.0,0.0,106.89313030801713,102.4000015258789,87.19999694824219,248.92999267578125,1787217027000.0,168.0,168.0,-6.431395495310426,76.0,167.0,0.125,168.0
122.0,1.6050000190734863,87.5999984741211,152.0,0.0,106.89307373017073,105.4000015258789,87.5999984741211,268.239990234375,1787217039000.0,180.0,180.0,-6.431559780612588,76.0,179.0,0.03700000047683716,180.0
120.0,1.5399999618530273,88.0,151.0,0.5,106.89303081482649,104.19999694824219,88.0,279.3500061035156,1787217047000.0,188.0,188.0,-6.431651646271348,75.0,187.0,0.03500000014901161,188.0
120.0,1.5210000276565552,87.4000015258789,147.0,0.5,106.89299100078642,103.80000305175781,87.4000015258789,291.7300109863281,1787217056000.0,197.0,197.0,-6.431753067299724,73.0,196.0,-0.04899999871850014,197.0
120.0,1.5119999647140503,87.0,149.0,0.5,106.89295093528926,103.4000015258789,87.0,303.5199890136719,1787217064000.0,205.0,205.0,-6.431851303204894,74.0,204.0,-0.052000001072883606,205.0
120.0,1.5490000247955322,87.4000015258789,151.0,0.5,106.89288329333067,102.19999694824219,87.4000015258789,323.5400085449219,1787217077000.0,218.0,218.0,-6.432019863277674,75.0,217.0,0.02199999988079071,218.0
118.0,1.5399999618530273,88.0,150.0,0.0,106.89285764470696,100.0,88.0,336.5799865722656,1787217087000.0,228.0,228.0,-6.432134946808219,75.0,227.0,0.05999999865889549,228.0
118.0,1.5210000276565552,88.4000015258789,149.0,0.5,106.89281917177141,100.19999694824219,88.4000015258789,348.8699951171875,1787217095000.0,236.0,236.0,-6.432238379493356,74.0,235.0,0.05000000074505806,236.0
119.0,1.5299999713897705,88.4000015258789,151.0,0.5,106.89278103411198,100.80000305175781,88.4000015258789,361.1300048828125,1787217103000.0,244.0,244.0,-6.43233678303659,75.0,243.0,0.014999999664723873,244.0
119.0,1.5399999618530273,89.0,154.0,0.0,106.89275002107024,102.80000305175781,89.0,377.69000244140625,1787217113000.0,254.0,254.0,-6.43248631618917,77.0,253.0,0.0560000017285347,254.0
121.0,1.5579999685287476,90.0,156.0,0.0,106.89269444905221,101.80000305175781,90.0,393.6000061035156,1787217123000.0,264.0,264.0,-6.432618163526058,78.0,263.0,0.0949999988079071,264.0
122.0,1.5959999561309814,91.19999694824219,156.0,0.0,106.89262378960848,101.80000305175781,91.19999694824219,413.75,1787217135000.0,276.0,276.0,-6.432784292846918,78.0,275.0,0.10499999672174454,276.0
124.0,1.6139999628067017,91.4000015258789,160.0,0.0,106.89261155202985,101.4000015258789,91.4000015258789,423.6300048828125,1787217141000.0,282.0,282.0,-6.432872470468283,80.0,281.0,0.03099999949336052,282.0
124.0,1.6699999570846558,91.80000305175781,154.0,0.0,106.89258347265422,100.4000015258789,91.80000305175781,440.05999755859375,1787217151000.0,292.0,292.0,-6.433016723021865,77.0,291.0,0.03099999949336052,292.0
122.0,1.6610000133514404,91.5999984741211,153.0,0.5,106.89258833415806,101.19999694824219,91.5999984741211,452.6499938964844,1787217159000.0,300.0,300.0,-6.433129962533712,76.0,299.0,-0.02800000086426735,300.0
122.0,1.6610000133514404,91.4000015258789,153.0,0.5,106.89259017817676,101.19999694824219,91.4000015258789,454.25,1787217160000.0,301.0,301.0,-6.433144463226199,76.0,300.0,-0.039000000804662704,301.0
125.0,1.6419999599456787,91.0,151.0,0.5,106.89260115846992,101.4000015258789,91.0,472.2799987792969,1787217173000.0,314.0,314.0,-6.433306904509664,75.0,313.0,-0.039000000804662704,314.0
128.0,1.6139999628067017,91.0,151.0,0.5,106.89260895363986,101.5999984741211,91.0,491.1300048828125,1787217185000.0,326.0,326.0,-6.433476889505982,75.0,325.0,0.0020000000949949026,326.0
125.0,1.6139999628067017,91.0,148.0,0.0,106.8926035054028,102.80000305175781,91.0,507.0199890136719,1787217196000.0,337.0,337.0,-6.433620303869247,74.0,336.0,-0.0020000000949949026,337.0
124.0,1.6139999628067017,91.0,148.0,0.0,106.89260677434504,103.19999694824219,91.0,509.4100036621094,1787217198000.0,339.0,339.0,-6.43364192917943,74.0,338.0,0.006000000052154064,339.0
124.0,1.5579999685287476,91.0,146.0,0.0,106.89258305355906,104.19999694824219,91.0,524.5900268554688,1787217209000.0,350.0,350.0,-6.4337763749063015,73.0,349.0,-0.00800000037997961,350.0
127.0,1.5299999713897705,90.80000305175781,148.0,0.0,106.89255824312568,104.19999694824219,90.80000305175781,535.6400146484375,1787217217000.0,358.0,358.0,-6.4338732697069645,74.0,357.0,-0.004999999888241291,358.0
127.0,1.5210000276565552,91.5999984741211,146.0,0.0,106.8925453349948,104.5999984741211,91.5999984741211,540.0700073242188,1787217220000.0,361.0,361.0,-6.433911239728332,73.0,360.0,0.21199999749660492,361.0
124.0,1.5210000276565552,92.4000015258789,149.0,0.5,106.89250820316374,105.5999984741211,92.4000015258789,555.239990234375,1787217230000.0,371.0,371.0,-6.434043254703283,74.0,370.0,0.0949999988079071,371.0
124.0,1.5210000276565552,92.5999984741211,151.0,0.5,106.89249420538545,105.80000305175781,92.5999984741211,559.2999877929688,1787217233000.0,374.0,374.0,-6.434077201411128,75.0,373.0,0.06700000166893005,374.0
123.0,1.5210000276565552,93.5999984741211,149.0,0.5,106.89245355315506,105.80000305175781,93.5999984741211,573.3099975585938,1787217242000.0,383.0,383.0,-6.434196811169386,74.0,382.0,0.10400000214576721,383.0
124.0,1.5299999713897705,95.19999694824219,151.0,0.5,106.89238540828228,105.80000305175781,95.19999694824219,586.5700073242188,1787217251000.0,392.0,392.0,-6.434294879436493,75.0,391.0,0.18700000643730164,392.0
125.0,1.5399999618530273,96.80000305175781,149.0,0.5,106.89231986179948,106.4000015258789,96.80000305175781,598.47998046875,1787217259000.0,400.0,400.0,-6.4343789499253035,74.0,399.0,0.1889999955892563,400.0
125.0,1.5210000276565552,97.80000305175781,147.0,0.5,106.89225356094539,108.0,97.80000305175781,608.6900024414062,1787217267000.0,408.0,408.0,-6.434443406760693,73.0,407.0,0.13199999928474426,408.0
125.0,1.5019999742507935,98.4000015258789,151.0,0.5,106.89219748601317,108.0,98.4000015258789,618.4000244140625,1787217274000.0,415.0,415.0,-6.43451071344316,75.0,414.0,0.0860000029206276,415.0
125.0,1.4739999771118164,99.4000015258789,147.0,0.5,106.89210587181151,108.19999694824219,99.4000015258789,634.6799926757812,1787217285000.0,426.0,426.0,-6.43462554551661,73.0,425.0,0.09000000357627869,426.0
125.0,1.465000033378601,100.0,152.0,0.0,106.89202850684524,109.0,100.0,647.219970703125,1787217293000.0,434.0,434.0,-6.434708442538977,76.0,433.0,0.06199999898672104,434.0
