directCorrectedElevation,directUncorrectedElevation,directTimestamp,directSpeed,sumMovingDuration,directHeartRate,directRunCadence,directDoubleCadence,sumDuration,directLongitude,directFractionalCadence,sumElapsedDuration,directLatitude,sumDistance,directElevation,directVerticalSpeed,elapsed_s
81.4000015258789,103.80000305175781,1787700428000.0,1.2690000534057617,0.0,85.0,79.0,159.0,0.0,106.89382734708488,0.5,0.0,-6.429374786093831,0.5099999904632568,81.4000015258789,,0.0
81.19999694824219,103.5999984741211,1787700429000.0,1.315999984741211,1.0,85.0,79.0,159.0,1.0,106.89382030628622,0.5,1.0,-6.429379479959607,1.440000057220459,81.19999694824219,-0.08399999886751175,1.0
81.0,103.19999694824219,1787700434000.0,1.25,6.0,84.0,70.0,141.0,6.0,106.89380371011794,0.5,6.0,-6.429457012563944,10.0,81.0,-0.03799999877810478,6.0
80.5999984741211,102.19999694824219,1787700445000.0,1.2319999933242798,17.0,88.0,76.0,153.0,17.0,106.89380479976535,0.5,17.0,-6.4296261593699455,28.510000228881836,80.5999984741211,-0.04600000008940697,17.0
80.5999984741211,102.0,1787700446000.0,1.2410000562667847,18.0,86.0,76.0,153.0,18.0,106.89379842951894,0.5,18.0,-6.429642336443067,30.420000076293945,80.5999984741211,-0.04399999976158142,18.0
80.0,101.80000305175781,1787700449000.0,1.2879999876022339,21.0,87.0,77.0,154.0,21.0,106.89376096241176,0.0,21.0,-6.429695393890142,37.13999938964844,80.0,-0.18700000643730164,21.0
80.0,101.80000305175781,1787700451000.0,1.315999984741211,23.0,84.0,77.0,154.0,23.0,106.89376096241176,0.0,23.0,-6.429721964523196,39.9900016784668,80.0,0.061000000685453415,23.0
80.0,101.5999984741211,1787700452000.0,1.3250000476837158,24.0,82.0,77.0,154.0,24.0,106.89375702291727,0.0,24.0,-6.42973680049181,41.66999816894531,80.0,-0.04600000008940697,24.0
80.0,101.5999984741211,1787700453000.0,1.3339999914169312,25.0,85.0,76.0,152.0,25.0,106.89374956302345,0.0,25.0,-6.429752390831709,43.560001373291016,80.0,-0.13199999928474426,25.0
79.5999984741211,100.19999694824219,1787700458000.0,1.3899999856948853,30.0,86.0,77.0,154.0,30.0,106.8937227409333,0.0,30.0,-6.429831264540553,52.7400016784668,79.5999984741211,-0.07800000160932541,30.0
79.80000305175781,99.19999694824219,1787700465000.0,1.5019999742507935,37.0,87.0,77.0,155.0,37.0,106.89370178617537,0.5,37.0,-6.429925560951233,64.08999633789062,79.80000305175781,0.03099999949336052,37.0
81.0,99.0,1787700474000.0,1.6519999504089355,46.0,89.0,78.0,157.0,46.0,106.89365786500275,0.5,46.0,-6.430074758827686,81.16000366210938,81.0,0.1420000046491623,46.0
81.19999694824219,99.0,1787700475000.0,1.6610000133514404,47.0,92.0,78.0,157.0,47.0,106.89365711063147,0.5,47.0,-6.430088421329856,82.6500015258789,81.19999694824219,0.14800000190734863,47.0
81.4000015258789,99.0,1787700477000.0,1.6699999570846558,49.0,95.0,78.0,157.0,49.0,106.89366289414465,0.5,49.0,-6.430117255076766,85.58999633789062,81.4000015258789,0.15600000321865082,49.0
81.80000305175781,99.19999694824219,1787700479000.0,1.6890000104904175,51.0,99.0,78.0,157.0,51.0,106.89366163685918,0.5,51.0,-6.430139048025012,87.95999908447266,81.80000305175781,0.11800000071525574,51.0
82.19999694824219,98.80000305175781,1787700482000.0,1.6799999475479126,54.0,102.0,78.0,157.0,54.0,106.89362375065684,0.5,54.0,-6.43017802387476,93.63999938964844,82.19999694824219,0.14000000059604645,54.0
82.5999984741211,98.5999984741211,1787700484000.0,1.6699999570846558,56.0,105.0,79.0,158.0,56.0,106.89361779950559,0.0,56.0,-6.430218676105142,98.06999969482422,82.5999984741211,0.21899999678134918,56.0
83.0,98.19999694824219,1787700487000.0,1.6610000133514404,59.0,110.0,77.0,155.0,59.0,106.89361905679107,0.5,59.0,-6.430259579792619,102.5199966430664,83.0,0.14399999380111694,59.0
83.19999694824219,98.19999694824219,1787700489000.0,1.6610000133514404,61.0,113.0,76.0,153.0,61.0,106.89361821860075,0.5,61.0,-6.430287575349212,105.61000061035156,83.19999694824219,0.05000000074505806,61.0
83.19999694824219,98.0,1787700491000.0,1.6519999504089355,63.0,118.0,76.0,153.0,63.0,106.89361461438239,0.5,63.0,-6.4303141459822655,108.48999786376953,83.19999694824219,0.04800000041723251,63.0
83.19999694824219,98.0,1787700492000.0,1.6419999599456787,64.0,117.0,76.0,153.0,64.0,106.89361461438239,0.5,64.0,-6.43033049069345,110.27999877929688,83.19999694824219,0.05900000035762787,64.0
83.4000015258789,98.0,1787700493000.0,1.6419999599456787,65.0,120.0,76.0,153.0,65.0,106.89361126162112,0.5,65.0,-6.430345997214317,112.0199966430664,83.4000015258789,0.0560000017285347,65.0
83.4000015258789,97.80000305175781,1787700494000.0,1.6419999599456787,66.0,123.0,77.0,155.0,66.0,106.89360480755568,0.5,66.0,-6.430359156802297,113.63999938964844,83.4000015258789,0.04699999839067459,66.0
83.4000015258789,97.80000305175781,1787700496000.0,1.6419999599456787,68.0,126.0,77.0,155.0,68.0,106.89359676092863,0.5,68.0,-6.4303836319595575,116.4800033569336,83.4000015258789,0.05000000074505806,68.0
83.5999984741211,97.5999984741211,1787700497000.0,1.6330000162124634,69.0,130.0,77.0,155.0,69.0,106.89359500072896,0.5,69.0,-6.430396120995283,117.75,83.5999984741211,0.12200000137090683,69.0
83.5999984741211,97.5999984741211,1787700498000.0,1.6330000162124634,70.0,130.0,78.0,157.0,70.0,106.89358762465417,0.5,70.0,-6.430409448221326,119.30000305175781,83.5999984741211,0.09099999815225601,70.0
83.80000305175781,97.4000015258789,1787700499000.0,1.6330000162124634,71.0,138.0,79.0,159.0,71.0,106.8935813382268,0.5,71.0,-6.430421434342861,120.4000015258789,83.80000305175781,0.08399999886751175,71.0
84.0,97.4000015258789,1787700500000.0,1.6330000162124634,72.0,141.0,79.0,159.0,72.0,106.8935810867697,0.5,72.0,-6.430437779054046,122.1500015258789,84.0,0.17499999701976776,72.0
84.19999694824219,97.0,1787700502000.0,1.6330000162124634,74.0,143.0,79.0,159.0,74.0,106.89358402043581,0.5,74.0,-6.430463679134846,125.0999984741211,84.19999694824219,0.15000000596046448,74.0
84.4000015258789,95.80000305175781,1787700505000.0,1.6330000162124634,77.0,143.0,77.0,155.0,77.0,106.89356449060142,0.5,77.0,-6.430495362728834,129.08999633789062,84.4000015258789,0.06700000166893005,77.0
