directFractionalCadence,directTimestamp,sumDistance,directCorrectedElevation,directHeartRate,directDoubleCadence,directLongitude,sumElapsedDuration,directSpeed,directElevation,directUncorrectedElevation,sumMovingDuration,directLatitude,directRunCadence,sumDuration,directVerticalSpeed,elapsed_s
0.0,1787872063000.0,0.15000000596046448,82.0,124.0,0.0,106.89387227408588,0.0,0.0,82.0,106.19999694824219,0.0,-6.4293829165399075,0.0,0.0,,0.0
0.0,1787872071000.0,5.510000228881836,81.80000305175781,121.0,144.0,106.8938467092812,8.0,0.0,81.80000305175781,105.80000305175781,0.0,-6.429427424445748,72.0,8.0,-0.02800000086426735,8.0
0.0,1787872073000.0,9.899999618530273,81.4000015258789,123.0,146.0,106.89382868818939,10.0,0.7279999852180481,81.4000015258789,105.4000015258789,2.0,-6.429462796077132,73.0,10.0,-0.19300000369548798,10.0
0.5,1787872079000.0,23.729999542236328,80.5999984741211,120.0,145.0,106.8938054703176,16.0,1.3339999914169312,80.5999984741211,102.5999984741211,8.0,-6.429585255682468,72.0,16.0,-0.1289999932050705,16.0
0.5,1787872080000.0,25.190000534057617,80.5999984741211,119.0,145.0,106.89380211755633,17.0,1.343999981880188,80.5999984741211,101.80000305175781,9.0,-6.429597996175289,72.0,17.0,-0.09399999678134918,17.0
0.5,1787872083000.0,29.940000534057617,80.19999694824219,116.0,143.0,106.89378728158772,20.0,1.3339999914169312,80.19999694824219,100.0,12.0,-6.429638313129544,71.0,20.0,-0.11100000143051147,20.0
0.5,1787872090000.0,41.060001373291016,79.80000305175781,115.0,147.0,106.89374897629023,27.0,1.3250000476837158,79.80000305175781,98.4000015258789,19.0,-6.429731268435717,73.0,27.0,-0.05700000002980232,27.0
0.5,1787872099000.0,55.849998474121094,79.4000015258789,117.0,147.0,106.89369985833764,36.0,1.3899999856948853,79.4000015258789,96.80000305175781,28.0,-6.429855572059751,73.0,36.0,-0.03799999877810478,36.0
0.0,1787872107000.0,68.9800033569336,79.80000305175781,117.0,148.0,106.89366700127721,44.0,1.4739999771118164,79.80000305175781,97.4000015258789,36.0,-6.429968811571598,74.0,44.0,0.035999998450279236,44.0
0.5,1787872112000.0,76.05000305175781,80.5999984741211,113.0,145.0,106.89365685917437,49.0,1.437000036239624,80.5999984741211,97.0,41.0,-6.430033603683114,72.0,49.0,0.15399999916553497,49.0
0.5,1787872114000.0,79.56999969482422,81.0,115.0,147.0,106.89365803264081,51.0,1.437000036239624,81.0,96.80000305175781,43.0,-6.43006612546742,73.0,51.0,0.19499999284744263,51.0
0.5,1787872116000.0,82.51000213623047,81.19999694824219,115.0,147.0,106.89364763908088,53.0,1.437000036239624,81.19999694824219,96.80000305175781,45.0,-6.430090181529522,73.0,53.0,0.12999999523162842,53.0
0.5,1787872120000.0,87.88999938964844,81.5999984741211,115.0,147.0,106.89362810924649,57.0,1.4279999732971191,81.5999984741211,96.80000305175781,49.0,-6.430135108530521,73.0,57.0,0.12099999934434891,57.0
0.5,1787872129000.0,101.66000366210938,83.0,117.0,141.0,106.89360640011728,66.0,1.4279999732971191,83.0,96.80000305175781,58.0,-6.430260082706809,70.0,66.0,0.14900000393390656,66.0
0.0,1787872136000.0,112.36000061035156,83.4000015258789,120.0,146.0,106.89359441399574,73.0,1.4279999732971191,83.4000015258789,96.80000305175781,65.0,-6.430357983335853,73.0,73.0,0.05000000074505806,73.0
0.0,1787872137000.0,114.0,83.4000015258789,123.0,146.0,106.89359055832028,74.0,1.4279999732971191,83.4000015258789,96.5999984741211,66.0,-6.430372400209308,73.0,74.0,0.052000001072883606,74.0
0.5,1787872139000.0,117.76000213623047,83.5999984741211,126.0,145.0,106.89356658607721,76.0,1.4279999732971191,83.5999984741211,96.5999984741211,68.0,-6.430397462099791,72.0,76.0,0.04500000178813934,76.0
0.5,1787872143000.0,126.33000183105469,83.80000305175781,127.0,147.0,106.89351076260209,80.0,1.437000036239624,83.80000305175781,96.80000305175781,72.0,-6.430457392707467,73.0,80.0,0.05400000140070915,80.0
0.5,1787872153000.0,139.72999572753906,84.19999694824219,129.0,139.0,106.89347170293331,90.0,1.409000039100647,84.19999694824219,99.5999984741211,82.0,-6.430571805685759,69.0,90.0,0.04899999871850014,90.0
0.0,1787872159000.0,146.6199951171875,84.0,129.0,138.0,106.89343390055001,96.0,1.371999979019165,84.0,101.5999984741211,88.0,-6.430624192580581,69.0,96.0,-0.03500000014901161,96.0
0.5,1787872162000.0,149.85000610351562,84.0,128.0,135.0,106.89342258498073,99.0,1.3619999885559082,84.0,102.4000015258789,91.0,-6.430651433765888,67.0,99.0,0.0,99.0
0.5,1787872167000.0,155.17999267578125,84.0,129.0,135.0,106.893420657143,104.0,1.315999984741211,84.0,102.80000305175781,96.0,-6.430699210613966,67.0,104.0,0.0,104.0
0.5,1787872169000.0,157.61000061035156,84.0,128.0,135.0,106.8934188131243,106.0,1.305999994277954,84.0,102.80000305175781,98.0,-6.430721422657371,67.0,106.0,0.0,106.0
0.5,1787872177000.0,167.8000030517578,84.0,127.0,141.0,106.89339274540544,114.0,1.315999984741211,84.0,102.19999694824219,106.0,-6.430809097364545,70.0,114.0,0.0,114.0
0.5,1787872186000.0,177.9199981689453,84.4000015258789,126.0,141.0,106.89336961135268,123.0,1.343999981880188,84.4000015258789,101.80000305175781,115.0,-6.430897442623973,70.0,123.0,0.03700000047683716,123.0
0.0,1787872197000.0,194.52000427246094,85.19999694824219,127.0,142.0,106.89333273097873,134.0,1.371999979019165,85.19999694824219,102.5999984741211,126.0,-6.431043203920126,71.0,134.0,0.08299999684095383,134.0
0.5,1787872209000.0,208.77000427246094,85.80000305175781,125.0,143.0,106.89327288419008,146.0,1.371999979019165,85.80000305175781,101.5999984741211,138.0,-6.4311564434319735,71.0,146.0,0.05000000074505806,146.0
0.0,1787872217000.0,217.75,86.19999694824219,127.0,140.0,106.89322594553232,154.0,1.315999984741211,86.19999694824219,101.0,146.0,-6.4312235824763775,70.0,154.0,0.039000000804662704,154.0
0.5,1787872224000.0,227.6199951171875,86.5999984741211,128.0,143.0,106.89319845288992,161.0,1.305999994277954,86.5999984741211,101.0,153.0,-6.431308323517442,71.0,161.0,0.0729999989271164,161.0
0.5,1787872235000.0,241.88999938964844,87.19999694824219,126.0,137.0,106.89313910901546,172.0,1.315999984741211,87.19999694824219,102.0,164.0,-6.4314226526767015,68.0,172.0,0.04600000008940697,172.0
0.0,1787872246000.0,254.75,87.4000015258789,124.0,140.0,106.89310424029827,183.0,1.2970000505447388,87.4000015258789,103.0,175.0,-6.431538574397564,70.0,183.0,0.023000000044703484,183.0
0.0,1787872254000.0,265.4100036621094,87.5999984741211,125.0,144.0,106.89306895248592,191.0,1.2970000505447388,87.5999984741211,104.0,183.0,-6.431627590209246,72.0,191.0,0.03200000151991844,191.0
0.0,1787872262000.0,276.260009765625,87.4000015258789,125.0,144.0,106.89304690808058,199.0,1.305999994277954,87.4000015258789,103.19999694824219,191.0,-6.431723143905401,72.0,199.0,-0.04800000041723251,199.0
