directHeartRate,directRunCadence,directLatitude,sumMovingDuration,directUncorrectedElevation,directDoubleCadence,sumElapsedDuration,directTimestamp,directSpeed,directFractionalCadence,sumDuration,sumDistance,directCorrectedElevation,directElevation,directLongitude,directVerticalSpeed,elapsed_s
106.0,47.0,-6.225276617333293,0.0,43.20000076293945,95.0,0.0,1788045973000.0,0.0,0.5,0.0,0.6800000071525574,20.399999618530273,20.399999618530273,106.80406479164958,,0.0
103.0,72.0,-6.225248705595732,5.0,44.79999923706055,145.0,5.0,1788045978000.0,0.7649999856948853,0.5,5.0,5.329999923706055,19.799999237060547,19.799999237060547,106.80409597232938,-0.13699999451637268,5.0
102.0,72.0,-6.225200090557337,10.0,46.0,145.0,10.0,1788045983000.0,1.0920000076293945,0.5,10.0,11.289999961853027,19.0,19.0,106.804129332304,-0.13300000131130219,10.0
102.0,76.0,-6.225182069465518,12.0,46.20000076293945,152.0,12.0,1788045985000.0,1.0920000076293945,0.0,12.0,14.220000267028809,18.600000381469727,18.600000381469727,106.80414827540517,-0.20600000023841858,12.0
102.0,78.0,-6.22510302811861,17.0,46.599998474121094,157.0,17.0,1788045990000.0,1.2599999904632568,0.5,17.0,23.170000076293945,18.200000762939453,18.200000762939453,106.80417560040951,-0.08100000023841858,17.0
100.0,75.0,-6.225040918216109,24.0,48.20000076293945,150.0,24.0,1788045997000.0,1.343999981880188,0.0,24.0,34.529998779296875,16.600000381469727,16.600000381469727,106.80424684658647,-0.2240000069141388,24.0
103.0,77.0,-6.2250343803316355,26.0,48.599998474121094,154.0,26.0,1788045999000.0,1.343999981880188,0.0,26.0,37.47999954223633,16.399999618530273,16.399999618530273,106.80427350103855,-0.12300000339746475,26.0
105.0,78.0,-6.224991548806429,32.0,47.0,157.0,32.0,1788046005000.0,1.3619999885559082,0.5,32.0,45.59000015258789,16.200000762939453,16.200000762939453,106.80433225817978,-0.04500000178813934,32.0
106.0,77.0,-6.224972018972039,39.0,43.400001525878906,155.0,39.0,1788046012000.0,1.3619999885559082,0.5,39.0,54.9900016784668,15.600000381469727,15.600000381469727,106.80442026816308,-0.07999999821186066,39.0
107.0,77.0,-6.224957853555679,41.0,42.0,154.0,41.0,1788046014000.0,1.3619999885559082,0.0,41.0,57.47999954223633,15.600000381469727,15.600000381469727,106.80443770252168,-0.03700000047683716,41.0
110.0,73.0,-6.2249168660491705,46.0,40.0,147.0,46.0,1788046019000.0,1.343999981880188,0.5,46.0,64.05000305175781,15.399999618530273,15.399999618530273,106.80448061786592,-0.017999999225139618,46.0
111.0,74.0,-6.224861880764365,50.0,39.599998474121094,149.0,50.0,1788046023000.0,1.3339999914169312,0.5,50.0,70.22000122070312,16.0,16.0,106.80451012216508,0.14499999582767487,50.0
114.0,77.0,-6.2248049676418304,57.0,40.599998474121094,154.0,57.0,1788046030000.0,1.343999981880188,0.0,57.0,80.12000274658203,16.399999618530273,16.399999618530273,106.80458136834204,0.04399999976158142,57.0
115.0,77.0,-6.224782504141331,59.0,40.79999923706055,154.0,59.0,1788046032000.0,1.3619999885559082,0.0,59.0,83.4800033569336,16.600000381469727,16.600000381469727,106.80460274219513,0.08500000089406967,59.0
