directDoubleCadence,directElevation,directLongitude,sumMovingDuration,sumElapsedDuration,sumDistance,directHeartRate,sumDuration,directTimestamp,directLatitude,directCorrectedElevation,directRunCadence,directFractionalCadence,directSpeed,directUncorrectedElevation,directVerticalSpeed,elapsed_s
99.0,13.800000190734863,106.80479753762484,0.0,0.0,0.8199999928474426,120.0,0.0,1788049654000.0,-6.224778816103935,13.800000190734863,49.0,0.5,0.0,51.20000076293945,,0.0
166.0,12.600000381469727,106.8048820272088,6.0,6.0,12.0600004196167,117.0,6.0,1788049660000.0,-6.224723579362035,12.600000381469727,83.0,0.0,1.9589999914169312,51.0,-0.20200000703334808,6.0
169.0,12.199999809265137,106.8048997130245,7.0,7.0,14.119999885559082,120.0,7.0,1788049661000.0,-6.224717712029815,12.199999809265137,84.0,0.5,2.2950000762939453,50.79999923706055,-0.42500001192092896,7.0
167.0,10.600000381469727,106.8049652595073,10.0,10.0,21.829999923706055,126.0,10.0,1788049664000.0,-6.224693991243839,10.600000381469727,83.0,0.5,2.1740000247955322,50.599998474121094,-0.5090000033378601,10.0
168.0,10.399999618530273,106.8049840349704,11.0,11.0,24.559999465942383,125.0,11.0,1788049665000.0,-6.2246777303516865,10.399999618530273,84.0,0.0,2.1740000247955322,50.599998474121094,-0.1979999989271164,11.0
168.0,10.0,106.80502384901047,13.0,13.0,30.049999237060547,127.0,13.0,1788049667000.0,-6.224647471681237,10.0,84.0,0.0,2.2109999656677246,50.400001525878906,-0.2639999985694885,13.0
175.0,9.199999809265137,106.80508268997073,16.0,16.0,38.900001525878906,133.0,16.0,1788049670000.0,-6.224593827500939,9.199999809265137,87.0,0.5,2.4070000648498535,50.20000076293945,-0.24699999392032623,16.0
171.0,9.399999618530273,106.80517354980111,20.0,20.0,50.560001373291016,136.0,20.0,1788049674000.0,-6.224540686234832,9.399999618530273,85.0,0.5,2.4730000495910645,50.20000076293945,0.03099999949336052,20.0
171.0,9.600000381469727,106.80523792281747,23.0,23.0,59.52000045776367,139.0,23.0,1788049677000.0,-6.224491568282247,9.600000381469727,85.0,0.5,2.546999931335449,50.400001525878906,0.12200000137090683,23.0
171.0,10.199999809265137,106.80529399774969,26.0,26.0,68.05000305175781,141.0,26.0,1788049680000.0,-6.224438846111298,10.199999809265137,85.0,0.5,2.5850000381469727,50.599998474121094,0.17499999701976776,26.0
171.0,10.800000190734863,106.80536339990795,30.0,30.0,78.66000366210938,144.0,30.0,1788049684000.0,-6.224373048171401,10.800000190734863,85.0,0.5,2.6410000324249268,50.79999923706055,0.17000000178813934,30.0
