sumMovingDuration,directLongitude,sumDuration,directTimestamp,sumDistance,directCorrectedElevation,directLatitude,sumElapsedDuration,directHeartRate,directElevation,directDoubleCadence,directFractionalCadence,directSpeed,directUncorrectedElevation,directRunCadence,directVerticalSpeed,elapsed_s
0.0,106.89389415085316,0.0,1788216859000.0,0.0,82.4000015258789,-6.429369505494833,0.0,91.0,82.4000015258789,0.0,0.0,0.0,106.4000015258789,0.0,,0.0
0.0,106.89389423467219,1.0,1788216860000.0,0.0,82.4000015258789,-6.429369505494833,1.0,92.0,82.4000015258789,0.0,0.0,0.0,106.4000015258789,0.0,0.0010000000474974513,1.0
0.0,106.89385978505015,8.0,1788216867000.0,6.510000228881836,82.0,-6.4294179528951645,8.0,90.0,82.0,141.0,0.5,0.0,106.4000015258789,70.0,-0.04600000008940697,8.0
4.0,106.8938398361206,12.0,1788216871000.0,14.3100004196167,81.4000015258789,-6.429486097767949,12.0,87.0,81.4000015258789,146.0,0.0,1.3250000476837158,106.4000015258789,73.0,-0.12099999934434891,12.0
6.0,106.89382349140942,14.0,1788216873000.0,18.15999984741211,81.19999694824219,-6.429517278447747,14.0,89.0,81.19999694824219,140.0,0.0,1.3530000448226929,106.19999694824219,70.0,-0.17399999499320984,14.0
17.0,106.89377973787487,25.0,1788216884000.0,35.36000061035156,80.19999694824219,-6.429666057229042,25.0,89.0,80.19999694824219,144.0,0.0,1.4459999799728394,105.19999694824219,72.0,-0.08399999886751175,25.0
22.0,106.893748389557,30.0,1788216889000.0,43.56999969482422,79.80000305175781,-6.429734118282795,30.0,93.0,79.80000305175781,144.0,0.0,1.4739999771118164,105.0,72.0,-0.08299999684095383,30.0
25.0,106.89373129047453,33.0,1788216892000.0,48.47999954223633,79.5999984741211,-6.429775105789304,33.0,97.0,79.5999984741211,147.0,0.5,1.4839999675750732,104.80000305175781,73.0,-0.09399999678134918,33.0
27.0,106.89372181892395,35.0,1788216894000.0,51.779998779296875,79.4000015258789,-6.429803520441055,35.0,99.0,79.4000015258789,147.0,0.5,1.4839999675750732,104.80000305175781,73.0,-0.06800000369548798,35.0
29.0,106.89371595159173,37.0,1788216896000.0,54.150001525878906,79.4000015258789,-6.429824223741889,37.0,102.0,79.4000015258789,147.0,0.5,1.4839999675750732,104.80000305175781,73.0,0.012000000104308128,37.0
31.0,106.8937103357166,39.0,1788216898000.0,57.0099983215332,79.4000015258789,-6.4298497047275305,39.0,105.0,79.4000015258789,147.0,0.5,1.4930000305175781,104.80000305175781,73.0,0.035999998450279236,39.0
34.0,106.89370539039373,42.0,1788216901000.0,60.79999923706055,79.5999984741211,-6.42988390289247,42.0,110.0,79.5999984741211,147.0,0.5,1.5019999742507935,104.19999694824219,73.0,0.03500000014901161,42.0
37.0,106.89370522275567,45.0,1788216904000.0,66.75,79.80000305175781,-6.429938469082117,45.0,114.0,79.80000305175781,149.0,0.5,1.465000033378601,103.0,74.0,0.06499999761581421,45.0
40.0,106.89369047060609,48.0,1788216907000.0,71.44999694824219,79.80000305175781,-6.4299792889505625,48.0,117.0,79.80000305175781,152.0,0.0,1.4459999799728394,102.4000015258789,76.0,0.03099999949336052,48.0
41.0,106.8936897162348,49.0,1788216908000.0,72.66000366210938,80.0,-6.4299901854246855,49.0,120.0,80.0,152.0,0.0,1.437000036239624,102.19999694824219,76.0,0.14000000059604645,49.0
43.0,106.89368586055934,51.0,1788216910000.0,74.88999938964844,80.19999694824219,-6.43000996671617,51.0,123.0,80.19999694824219,148.0,0.0,1.4179999828338623,102.0,74.0,0.13500000536441803,51.0
45.0,106.89368736930192,53.0,1788216912000.0,77.63999938964844,80.5999984741211,-6.430035615339875,53.0,124.0,80.5999984741211,150.0,0.0,1.409000039100647,101.80000305175781,75.0,0.14800000190734863,53.0
53.0,106.89365954138339,61.0,1788216920000.0,90.69999694824219,81.80000305175781,-6.430149441584945,61.0,124.0,81.80000305175781,148.0,0.0,1.409000039100647,100.80000305175781,74.0,0.15399999916553497,61.0
54.0,106.89365928992629,62.0,1788216921000.0,92.36000061035156,82.0,-6.4301645290106535,62.0,124.0,82.0,148.0,0.0,1.409000039100647,100.80000305175781,74.0,0.16300000250339508,62.0
63.0,106.89360623247921,71.0,1788216930000.0,104.48999786376953,83.0,-6.430262345820665,71.0,124.0,83.0,141.0,0.5,1.409000039100647,100.4000015258789,70.0,0.11400000005960464,71.0
72.0,106.89355585724115,80.0,1788216939000.0,117.18000030517578,83.4000015258789,-6.430367790162563,80.0,124.0,83.4000015258789,138.0,0.0,1.371999979019165,99.5999984741211,69.0,0.041999999433755875,80.0
82.0,106.89351889304817,90.0,1788216949000.0,129.6699981689453,83.80000305175781,-6.4304752461612225,90.0,124.0,83.80000305175781,145.0,0.5,1.3339999914169312,98.80000305175781,72.0,0.05000000074505806,90.0
89.0,106.89349265769124,97.0,1788216956000.0,140.24000549316406,84.4000015258789,-6.430565770715475,97.0,125.0,84.4000015258789,143.0,0.5,1.3250000476837158,97.0,71.0,0.06700000166893005,97.0
94.0,106.89349047839642,102.0,1788216961000.0,148.19000244140625,84.4000015258789,-6.4306381065398455,102.0,125.0,84.4000015258789,144.0,0.0,1.3250000476837158,96.5999984741211,72.0,-0.003000000026077032,102.0
97.0,106.89347731880844,105.0,1788216964000.0,152.47999572753906,84.19999694824219,-6.4306743163615465,105.0,125.0,84.19999694824219,144.0,0.0,1.3339999914169312,96.19999694824219,72.0,-0.03200000151991844,105.0
106.0,106.8934341520071,114.0,1788216973000.0,164.22999572753906,84.0,-6.430770205333829,114.0,123.0,84.0,139.0,0.5,1.3530000448226929,95.80000305175781,69.0,-0.02800000086426735,114.0
113.0,106.8933960981667,121.0,1788216980000.0,175.5,84.19999694824219,-6.430865004658699,121.0,123.0,84.19999694824219,143.0,0.5,1.3530000448226929,97.0,71.0,0.02800000086426735,121.0
124.0,106.89334320835769,132.0,1788216991000.0,190.69000244140625,85.0,-6.430991152301431,132.0,122.0,85.0,141.0,0.5,1.3899999856948853,97.19999694824219,70.0,0.06499999761581421,132.0
137.0,106.89327246509492,145.0,1788217004000.0,209.22999572753906,85.80000305175781,-6.431142948567867,145.0,119.0,85.80000305175781,148.0,0.0,1.4279999732971191,96.5999984741211,74.0,0.06400000303983688,145.0
138.0,106.89326634630561,146.0,1788217005000.0,210.35000610351562,85.80000305175781,-6.431151246652007,146.0,119.0,85.80000305175781,148.0,0.0,1.4279999732971191,96.5999984741211,74.0,0.03799999877810478,146.0
149.0,106.89320079982281,157.0,1788217016000.0,227.27000427246094,86.5999984741211,-6.431289715692401,157.0,119.0,86.5999984741211,150.0,0.0,1.437000036239624,96.4000015258789,75.0,0.0689999982714653,157.0
156.0,106.8931666854769,164.0,1788217023000.0,240.36000061035156,87.0,-6.431403206661344,164.0,122.0,87.0,157.0,0.5,1.465000033378601,97.19999694824219,78.0,0.06499999761581421,164.0
160.0,106.89314489252865,168.0,1788217027000.0,247.69000244140625,87.19999694824219,-6.431466406211257,168.0,124.0,87.19999694824219,157.0,0.5,1.4930000305175781,97.4000015258789,78.0,0.03400000184774399,168.0
168.0,106.89310021698475,176.0,1788217035000.0,259.75,87.4000015258789,-6.431566150858998,176.0,127.0,87.4000015258789,154.0,0.0,1.5579999685287476,97.80000305175781,77.0,0.03999999910593033,176.0
170.0,106.89308747649193,178.0,1788217037000.0,262.489990234375,87.5999984741211,-6.431587440893054,178.0,127.0,87.5999984741211,154.0,0.0,1.5579999685287476,98.0,77.0,0.04600000008940697,178.0
