directFractionalCadence,directUncorrectedElevation,directHeartRate,sumDuration,directCorrectedElevation,sumElapsedDuration,sumMovingDuration,directLatitude,directDoubleCadence,directElevation,directRunCadence,sumDistance,directTimestamp,directLongitude,directSpeed,directVerticalSpeed,elapsed_s
0.0,68.4000015258789,112.0,0.0,21.799999237060547,0.0,0.0,-6.228051111102104,0.0,21.799999237060547,0.0,2.7699999809265137,1788655990000.0,106.80050608702004,0.0,,0.0
0.0,68.4000015258789,112.0,1.0,21.799999237060547,1.0,0.0,-6.228044657036662,0.0,21.799999237060547,0.0,3.6600000858306885,1788655991000.0,106.80051145143807,0.0,0.06199999898672104,1.0
0.0,68.4000015258789,111.0,9.0,23.0,9.0,8.0,-6.227941894903779,158.0,23.0,79.0,20.709999084472656,1788655999000.0,106.8006256967783,1.7170000076293945,0.13199999928474426,9.0
0.5,68.80000305175781,114.0,14.0,22.600000381469727,14.0,13.0,-6.227884730324149,161.0,22.600000381469727,80.0,31.59000015258789,1788656004000.0,106.80070507340133,1.7079999446868896,-0.07599999755620956,14.0
0.0,69.0,115.0,18.0,22.0,18.0,17.0,-6.227823626250029,160.0,22.0,80.0,42.2400016784668,1788656008000.0,106.80077975615859,1.781999945640564,-0.1340000033378601,18.0
0.0,68.80000305175781,118.0,22.0,21.600000381469727,22.0,21.0,-6.2277821358293295,160.0,21.600000381469727,80.0,51.22999954223633,1788656012000.0,106.80084974505007,1.847000002861023,-0.11400000005960464,22.0
0.0,68.5999984741211,121.0,25.0,21.200000762939453,25.0,24.0,-6.2277476862072945,162.0,21.200000762939453,81.0,58.68000030517578,1788656015000.0,106.8009087536484,1.9129999876022339,-0.1120000034570694,25.0
0.0,68.4000015258789,124.0,27.0,20.799999237060547,27.0,26.0,-6.22771373949945,164.0,20.799999237060547,82.0,63.2599983215332,1788656017000.0,106.80093758739531,1.940999984741211,-0.15000000596046448,27.0
0.0,68.19999694824219,126.0,28.0,20.799999237060547,28.0,27.0,-6.227701669558883,164.0,20.799999237060547,82.0,65.44000244140625,1788656018000.0,106.8009534291923,1.9500000476837158,-0.15700000524520874,28.0
0.0,66.80000305175781,129.0,32.0,20.0,32.0,31.0,-6.227655569091439,166.0,20.0,83.0,74.68000030517578,1788656022000.0,106.80102299898863,2.00600004196167,-0.16699999570846558,32.0
0.0,64.5999984741211,132.0,35.0,19.399999618530273,35.0,34.0,-6.2275986559689045,168.0,19.399999618530273,84.0,83.06999969482422,1788656025000.0,106.80107748135924,2.0810000896453857,-0.19900000095367432,35.0
0.0,63.0,133.0,38.0,18.799999237060547,38.0,37.0,-6.227542329579592,168.0,18.799999237060547,84.0,91.95999908447266,1788656028000.0,106.80113883689046,2.2019999027252197,-0.2150000035762787,38.0
0.0,59.599998474121094,136.0,44.0,18.600000381469727,44.0,43.0,-6.2274301797151566,164.0,18.600000381469727,82.0,111.43000030517578,1788656034000.0,106.80127571336925,2.2769999504089355,-0.03700000047683716,44.0
0.0,58.20000076293945,139.0,48.0,19.600000381469727,48.0,47.0,-6.227353485301137,164.0,19.600000381469727,82.0,123.54000091552734,1788656038000.0,106.801354335621,2.3510000705718994,0.2639999985694885,48.0
0.5,58.400001525878906,140.0,56.0,21.0,56.0,55.0,-6.227290453389287,163.0,21.0,81.0,138.0,1788656046000.0,106.80147076025605,2.127000093460083,0.16099999845027924,56.0
0.0,58.20000076293945,142.0,67.0,21.200000762939453,67.0,66.0,-6.227172771468759,160.0,21.200000762939453,80.0,159.02999877929688,1788656057000.0,106.8016204610467,2.0250000953674316,0.029999999329447746,67.0
0.5,58.0,142.0,68.0,21.399999618530273,68.0,67.0,-6.227153828367591,161.0,21.399999618530273,80.0,161.47000122070312,1788656058000.0,106.80163454264402,2.0339999198913574,0.0860000029206276,68.0
0.0,58.20000076293945,143.0,76.0,21.600000381469727,76.0,75.0,-6.227044025436044,164.0,21.600000381469727,82.0,179.97999572753906,1788656066000.0,106.80176219902933,2.0899999141693115,0.035999998450279236,76.0
0.0,56.79999923706055,145.0,85.0,21.200000762939453,85.0,84.0,-6.226946124807,164.0,21.200000762939453,82.0,199.8000030517578,1788656075000.0,106.80191273801029,2.13700008392334,-0.041999999433755875,85.0
0.5,49.599998474121094,146.0,94.0,21.200000762939453,94.0,93.0,-6.226831711828709,161.0,21.200000762939453,80.0,220.1300048828125,1788656084000.0,106.80205648764968,2.1459999084472656,-0.004000000189989805,94.0
0.5,48.400001525878906,146.0,97.0,21.600000381469727,97.0,96.0,-6.2267975974828005,163.0,21.600000381469727,81.0,225.94000244140625,1788656087000.0,106.80209646932781,2.1459999084472656,0.08900000154972076,97.0
0.5,45.79999923706055,143.0,105.0,22.200000762939453,105.0,104.0,-6.226717801764607,161.0,22.200000762939453,80.0,241.72999572753906,1788656095000.0,106.80221482180059,2.1089999675750732,0.08900000154972076,105.0
0.0,44.400001525878906,143.0,110.0,22.600000381469727,110.0,109.0,-6.22665979899466,160.0,22.600000381469727,80.0,251.6699981689453,1788656100000.0,106.80228380486369,2.0899999141693115,0.09099999815225601,110.0
0.0,45.0,143.0,117.0,22.799999237060547,117.0,116.0,-6.226629791781306,160.0,22.799999237060547,80.0,262.260009765625,1788656107000.0,106.80237567052245,2.0429999828338623,0.027000000700354576,117.0
0.0,53.79999923706055,143.0,126.0,23.0,126.0,125.0,-6.226519150659442,160.0,23.0,80.0,282.94000244140625,1788656116000.0,106.80252411402762,2.015000104904175,0.01600000075995922,126.0
0.0,56.0,143.0,136.0,21.399999618530273,136.0,135.0,-6.226408928632736,162.0,21.399999618530273,81.0,302.239990234375,1788656126000.0,106.80265956558287,2.0250000953674316,-0.16300000250339508,136.0
0.5,54.20000076293945,142.0,144.0,19.0,144.0,143.0,-6.226310525089502,165.0,19.0,82.0,318.8500061035156,1788656134000.0,106.80277121253312,2.0250000953674316,-0.2980000078678131,144.0
0.0,54.79999923706055,144.0,152.0,17.600000381469727,152.0,151.0,-6.226242715492845,162.0,17.600000381469727,81.0,334.67999267578125,1788656142000.0,106.80289744399488,2.0250000953674316,-0.16899999976158142,152.0
0.0,55.0,147.0,156.0,17.799999237060547,156.0,155.0,-6.226201727986336,160.0,17.799999237060547,80.0,343.1099853515625,1788656146000.0,106.8029617331922,2.015000104904175,0.05299999937415123,156.0
0.0,54.599998474121094,146.0,160.0,18.200000762939453,160.0,159.0,-6.226149592548609,162.0,18.200000762939453,81.0,352.3999938964844,1788656150000.0,106.8030275311321,2.015000104904175,0.0820000022649765,160.0
0.5,53.79999923706055,146.0,168.0,18.399999618530273,168.0,167.0,-6.22609200887382,161.0,18.399999618530273,80.0,369.1300048828125,1788656158000.0,106.80316113866866,2.0339999198913574,0.03700000047683716,168.0
0.5,50.20000076293945,146.0,173.0,19.399999618530273,173.0,172.0,-6.22603626921773,161.0,19.399999618530273,80.0,378.95001220703125,1788656163000.0,106.80323020555079,2.0339999198913574,0.17000000178813934,173.0
0.5,46.400001525878906,148.0,183.0,22.799999237060547,183.0,182.0,-6.225917581468821,161.0,22.799999237060547,80.0,398.989990234375,1788656173000.0,106.8033658247441,2.0339999198913574,0.34599998593330383,183.0
0.5,47.0,149.0,185.0,23.600000381469727,185.0,184.0,-6.225889166817069,161.0,23.600000381469727,80.0,403.239990234375,1788656175000.0,106.80339164100587,2.0339999198913574,0.40400001406669617,185.0
0.5,52.400001525878906,146.0,194.0,23.0,194.0,193.0,-6.22584130614996,155.0,23.0,77.0,416.2099914550781,1788656184000.0,106.80350395850837,2.015000104904175,-0.06300000101327896,194.0
