directLatitude,directDoubleCadence,directFractionalCadence,sumElapsedDuration,directTimestamp,directRunCadence,sumDuration,sumMovingDuration,sumDistance,directLongitude,directUncorrectedElevation,directSpeed,directElevation,directCorrectedElevation,directHeartRate,directVerticalSpeed,elapsed_s
-6.4293675776571035,0.0,0.0,0.0,1789513243000.0,0.0,0.0,0.0,0.03999999910593033,106.89386364072561,125.4000015258789,0.0,81.80000305175781,81.80000305175781,132.0,,0.0
-6.429367326200008,0.0,0.0,4.0,1789513247000.0,0.0,4.0,0.0,0.25,106.89386162906885,125.19999694824219,0.0,81.80000305175781,81.80000305175781,129.0,-0.007000000216066837,4.0
-6.429409738630056,158.0,0.0,9.0,1789513252000.0,79.0,9.0,0.0,6.300000190734863,106.89382826909423,124.5999984741211,0.0,81.4000015258789,81.4000015258789,129.0,-0.06599999964237213,9.0
-6.42947880551219,155.0,0.5,13.0,1789513256000.0,77.0,13.0,4.0,14.239999771118164,106.89380429685116,124.19999694824219,1.6050000190734863,81.0,81.0,126.0,-0.12099999934434891,13.0
-6.429536724463105,154.0,0.0,16.0,1789513259000.0,77.0,16.0,7.0,20.670000076293945,106.89379474148154,124.0,1.5399999618530273,80.5999984741211,80.5999984741211,122.0,-0.11500000208616257,16.0
-6.42955306917429,154.0,0.0,17.0,1789513260000.0,77.0,17.0,8.0,22.530000686645508,106.89379105344415,124.0,1.5490000247955322,80.5999984741211,80.5999984741211,121.0,-0.1120000034570694,17.0
-6.429666392505169,157.0,0.5,26.0,1789513269000.0,78.0,26.0,17.0,35.790000915527344,106.8937520775944,123.19999694824219,1.5299999713897705,79.5999984741211,79.5999984741211,119.0,-0.1080000028014183,26.0
-6.429689861834049,158.0,0.0,28.0,1789513271000.0,79.0,28.0,19.0,38.4900016784668,106.89374143257737,123.0,1.5299999713897705,79.4000015258789,79.4000015258789,116.0,-0.07500000298023224,28.0
-6.429747110232711,160.0,0.0,32.0,1789513275000.0,80.0,32.0,23.0,44.88999938964844,106.89371134154499,122.5999984741211,1.5299999713897705,79.19999694824219,79.19999694824219,113.0,-0.07699999958276749,32.0
-6.429755408316851,160.0,0.0,33.0,1789513276000.0,80.0,33.0,24.0,47.7400016784668,106.89368686638772,122.4000015258789,1.5299999713897705,79.0,79.0,113.0,-0.057999998331069946,33.0
-6.429804023355246,156.0,0.0,37.0,1789513280000.0,78.0,37.0,28.0,55.15999984741211,106.89363431185484,122.0,1.5679999589920044,79.0,79.0,114.0,-0.004000000189989805,37.0
