activity_id,split_index,distance_km,duration_min,pace_min_per_km,avg_hr,max_hr,elevation_gain_m
23671443824,1,0.051,2.0,39.21,119.0,126.0,0.0
23671443824,2,0.619,5.0,8.08,148.0,160.0,0.0
23671443824,3,0.162,2.0,12.32,135.0,150.0,0.0
23671377800,1,1.0,9.57,9.57,135.0,149.0,1.02
23671377800,2,1.0,10.93,10.93,136.0,148.0,20.54
23671377800,3,1.0,11.07,11.07,136.0,146.0,13.05
23671377800,4,1.0,10.11,10.11,132.0,140.0,12.48
23671377800,5,1.0,9.96,9.96,136.0,146.0,0.0
23671377800,6,0.018,0.19,10.66,136.0,139.0,0.0
23698004670,1,0.008,0.22,26.09,113.0,114.0,0.0
23698004670,2,0.001,0.07,64.02,110.0,110.0,0.0
23698004670,3,0.047,0.33,7.14,119.0,132.0,0.0
23698004670,4,0.061,0.75,12.28,135.0,139.0,0.0
23698004670,5,0.042,0.33,7.99,131.0,136.0,0.0
23698004670,6,0.069,0.75,10.81,139.0,143.0,0.0
23698004670,7,0.053,0.33,6.29,132.0,136.0,0.0
23698004670,8,0.064,0.75,11.74,142.0,146.0,0.0
23698004670,9,0.054,0.33,6.12,137.0,146.0,0.0
23698004670,10,0.072,0.75,10.45,151.0,156.0,6.0
23698004670,11,0.047,0.33,7.1,150.0,154.0,0.0
23698004670,12,0.062,0.75,12.1,160.0,163.0,9.96
23698004670,13,0.046,0.33,7.31,161.0,165.0,0.0
23698004670,14,0.067,0.75,11.22,165.0,168.0,5.87
23698004670,15,0.061,0.33,5.5,160.0,161.0,0.0
23698004670,16,0.067,0.75,11.2,161.0,167.0,0.0
23698004670,17,0.058,0.33,5.76,154.0,156.0,0.0
23698004670,18,0.075,0.75,9.99,160.0,165.0,0.0
23698004670,19,0.682,10.0,14.66,136.0,169.0,34.51
23698004090,1,1.0,9.65,9.65,143.0,153.0,3.89
23698004090,2,1.0,10.32,10.32,142.0,150.0,12.52
23698004090,3,1.0,11.08,11.08,138.0,145.0,1.0
23698004090,4,1.0,10.91,10.91,135.0,141.0,6.84
23698004090,5,0.01,0.11,10.72,137.0,137.0,0.0
23732799698,1,1.0,10.27,10.27,137.0,155.0,3.05
23732799698,2,1.0,10.47,10.47,134.0,144.0,6.21
23732799698,3,1.0,10.83,10.83,135.0,146.0,5.89
23732799698,4,1.0,11.06,11.06,138.0,145.0,21.61
23732799698,5,1.0,11.27,11.27,135.0,146.0,16.0
23732799698,6,1.0,10.4,10.4,133.0,155.0,11.81
23732799698,7,1.0,10.29,10.29,133.0,142.0,0.0
23732799698,8,1.0,10.7,10.7,131.0,149.0,9.33
23732799698,9,1.0,10.24,10.24,135.0,148.0,2.5
23732799698,10,0.008,0.05,7.23,125.0,125.0,0.0
23782224336,1,1.0,10.92,10.92,122.0,132.0,9.29
23782224336,2,1.0,11.41,11.41,120.0,129.0,0.0
23782224336,3,1.0,11.44,11.44,120.0,128.0,2.93
23782224336,4,1.0,11.63,11.63,120.0,127.0,7.91
23782224336,5,1.0,11.56,11.56,119.0,126.0,4.31
23782224336,6,0.012,0.14,11.23,120.0,120.0,0.0
23806264766,1,1.0,11.32,11.32,122.0,138.0,9.69
23806264766,2,1.0,11.36,11.36,128.0,137.0,7.93
23806264766,3,1.0,10.6,10.6,131.0,146.0,1.75
23806264766,4,1.0,11.6,11.6,131.0,141.0,0.99
23806264766,5,1.0,12.05,12.05,129.0,143.0,0.0
23806264766,6,1.0,11.38,11.38,134.0,148.0,10.03
23806264766,7,0.006,0.05,9.32,143.0,144.0,0.0
23855851081,1,1.0,10.14,10.14,137.0,149.0,20.29
23855851081,2,1.0,10.55,10.55,138.0,149.0,14.95
23855851081,3,1.0,9.77,9.77,136.0,147.0,10.86
23855851081,4,1.0,9.79,9.79,138.0,150.0,0.0
23855851081,5,0.011,0.11,9.67,148.0,149.0,0.0
23881012206,1,0.005,0.53,96.06,102.0,113.0,0.0
23881012206,2,1.0,10.5,10.5,141.0,153.0,19.07
